Produk,Nama,Waktu,Review,Rating
"Lenovo Monitor Legion R25i-30 24.5"" IPS 165Hz",Edward,1 minggu lalu,"Monitor paling bagus, kokoh, sRGB beneran bukan tipu2. Terbaik pokoonya",bintang 5
Lenovo LOQ 15IRH8 Core i5-13420H 8GB 512GB RTX4050 6GB W11+OHS,Aviantara,1 minggu lalu,"keren banget dah, seller respon cepat dan di packing aman banget",bintang 5
"Lenovo Monitor Legion R25i-30 24.5"" IPS 165Hz",Abu,1 minggu lalu,oke,bintang 5
Lenovo ThinkBook 14 G3 ACL Ryzen 3 5300U 4GB 512GB SSD W11+OHS,Satya,1 minggu lalu,"Sat set, barang oke, bonus juga oke. Semoga awet! Terima kasih Lenovo Indonesia",bintang 5
Lenovo ThinkPad E14 Gen 5 (Intel) Core i3-1315U 8GB 512GB W11Pro,A***s,1 minggu lalu,"Terimakasih , barang sampai dengan aman mungkin kurirnya JNT lama",bintang 5
Lenovo IdeaPad Slim 3i 14IAU7 Core i3-1215U 8GB 512GB W11 OHS,A***h,1 minggu lalu,"Dapat free mouse, sangat memuaskan",bintang 5
Lenovo Yoga 7 14ARP8 Ryzen 7 7735U 16GB 1TB W11 OHS,A***a,1 minggu lalu,baguss seller responsif semoga awett,bintang 5
SCREEN PROTECTOR LAPTOP,A***a,1 minggu lalu,jujur klo diperhatiin bgtt agak kurang ngepas masangnya tp gpp ga begitu mengganggu kok thanks,bintang 4
Lenovo IdeaPad Slim 3i 14IAU7 Core i7-1255U 8GB 512GB W11 OHS,Marlina,1 minggu lalu,"order kesekian kalinya... prngiriman sangat cepat, seller sangat responsif",bintang 5
Lenovo IdeaCentre AIO 3 24IAP7 Core i3-1215U 8GB 512GB W11 OHS,F***r,1 minggu lalu,"gokil cepet banget, udh dicoba set up. semoga awet, cukup banget utk keperluan kerjaan ringan di kantor cabang gw yang baru",bintang 5
"Monitor LED LENOVO L24i-40 24"" IPS 1080p 100Hz VGA HDMI Speaker ,VESA",Fahimul,1 minggu lalu,"pakai cargo cepat seperti reguler, barang mantap semoga awet",bintang 5
Lenovo ThinkPad T14 Gen 4 (Intel) Core™ i7-1355U 32GB 1TB W11Pro,ACI,1 minggu lalu,"Langganan. pelayanan selalu OK, fast response, pengiriman cepat  & aman",bintang 5
Lenovo ThinkPad E14 Gen 5 (Intel) Core i7-1355U 16GB 512GB W11Pro,Toni,1 minggu lalu,Fast responsent,bintang 5
Lenovo V14 G4 AMN Ryzen 5 7520U 8GB 512GB W11 OHS,S***i,1 minggu lalu,barangnya ok pengiriman cepat dan respon penjual cepat thanks ya,bintang 5
Lenovo IdeaPad Slim1 14IGL7 Celeron N4020 8GB 256 SSD W11 OHS,Dimas,1 minggu lalu,"Pengiriman cepat, safe ti pakek kayu leptop nya lancar tidak ada kendala mantap 👍🏻",bintang 5
"Monitor LED LENOVO L24i-40 24"" IPS 1080p 100Hz VGA HDMI Speaker ,VESA",Purwanto,1 minggu lalu,"Mantap bagus, gercep yg jual. Cuma monitor nya nggak bisa dipendekin, tapi bisa dimiringin si...",bintang 5
Lenovo ThinkBook 14 G4 IAP Core i7-1255U 16GB 512GB MX550 2GB W11+OHS,D***i,1 minggu lalu,"Produk sesuai deskripsi, pengiriman cepat kemasannya aman, recommended seller.",bintang 5
"Lenovo Monitor G34w-30 VA 34""",Dinan,2 minggu lalu,"Mantap, Monitornya sesuai dengan yg di deskripsi, recommended curved monitor",bintang 5
Lenovo IdeaPad Slim1 14IGL7 Celeron N4020 8GB 256 SSD W11 OHS,Irfan,2 minggu lalu,Gila sih ini. amanah banget. sellernya Selalu Respon . Barangnya bagus ga ada minus. pengiriman Cepat Banget. Mantapp,bintang 5
Lenovo ThinkBook 14 G6 IRL Core i5-1335U 8GB 512GB W11 OHS,I***n,2 minggu lalu,"Respon cepat, brg sesuai.",bintang 5
Lenovo IdeaPad Slim1 14AMN7 Ryzen 3 7320U 8GB 512GB SSD W11 OHS,M***a,2 minggu lalu,seller gercep dan barang 100% mulus bekerja dgn baik,bintang 5
Lenovo Lenovo V14 G3 IAP Core i3-1215U 8GB 512GB W11 OHS,m***y,2 minggu lalu,"Respon sangat cepat, barang tiba dengan aman dan berfungsi dengan baik. Seller very responsive and helpful. Highly recommended!",bintang 5
Lenovo LOQ 15IRH8 Core i5-12450H 8GB 512GB RTX 3050 6GB W11 OHS,P***u,2 minggu lalu,"Respon seller sangat baik. Barang juga mulus. Overall, 100% puas",bintang 5
Lenovo IdeaPad Slim1 14IGL7 Celeron N4020 8GB 256 SSD W11 OHS,E***y,2 minggu lalu,Mantap,bintang 5
Lenovo Yoga Slim 7 Carbon 13IRP8 Core i7-1360P 16GB 1TB W11+OHS,Adi,2 minggu lalu,Alhamdulillah thin n light 🤲🏼 mantap packing kayu + bubble wrap tebal + banyak aksesoris,bintang 5
Lenovo IdeaPad Slim 1 14IGL7 Celeron N4020 8GB 512GB W11 OHS,art,2 minggu lalu,"terima kasih kak.. disaat laptop adek rusak butuh urgent, langsung dikirim juga.. over all laptop berjalan dengan baik",bintang 5
Lenovo ThinkBook 14 G3 ACL Ryzen 3 5300U 4GB 512GB SSD W11+OHS,indah,2 minggu lalu,"Alhamdulillah akhirnya sampai... Puas, bagus dan sesuai ekspektasi.. hadiahnya jg 👍",bintang 5
"Lenovo Monitor Legion R25i-30 24.5"" IPS 165Hz",Nova,2 minggu lalu,"keren barangnya, fast respon and dikirim dengan selamat",bintang 5
"Lenovo Monitor ThinkVision M15 15.6"" IPS 60Hz",denny,2 minggu lalu,good deal super fast shipping,bintang 5
Lenovo Yoga 7 14ARP8 Ryzen 7 7735U 16GB 1TB W11 OHS,N***a,2 minggu lalu,"Produk dikirim dengan cepat dan dipaket dengan baik sekali. Seller nya recommended. Laptopnya, setup mudah dan memang untuk keperluan saya Lenovo YOGA 7 Ryzen ini sejauh... ",bintang 5
