Produk,Nama,Waktu,Review,Rating
Kaos polo polos / Kaos kerah / Kaos wangki,Dadang,1 bulan lalu,Ukurannya terlalu kecil,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,r***l,1 bulan lalu,Ukurannya pas Tinggi badan 160 - 170 cm Berat badan 60 - 70 kg,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,T***k,1 bulan lalu,"Ukurannya pas, warnax jg pas, bahanx jg adem",bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,Mario,1 bulan lalu,Ukurannya pas,bintang 5
Kaos pria O-neck smile,Ahmad,1 bulan lalu,Bagus tapi bahannya bikin gerah,bintang 4
Kaos Polos Wanita Cotton Combed 30s,Efishoping,1 bulan lalu,Ukurannya pas Tinggi badan 150 - 160 cm Tinggi badan 161 - 170 cm,bintang 5
Kaos pria O-neck bicycle,I***l,1 bulan lalu,Ukurannya pas Tinggi badan 160 - 170 cm,bintang 5
Kaos Pria O-neck LS,Hok,1 bulan lalu,lumayan untuk dipakai sehari². bahannya tipis sih. jadinya adem. sesuai dengan price nya. ada price ada quality,bintang 5
Kaos Polos Wanita Cotton Combed 30s,Edwin,2 bulan lalu,"Senang sekali kita dengan kaos ini, terimakasih ke toko dan gosend atas pengiriman cepat",bintang 5
Kaos Polos Pria Cotton Combed 30s,Govinda,2 bulan lalu,ok mantap bagus,bintang 5
KAOS 17 AGUSTUS MERAH PUTIH / KAOS PRIA WANITA,N***Y,2 bulan lalu,"keren, mantap . terimakasih",bintang 5
Kaos Pria O-neck I don't care,N***Y,2 bulan lalu,"keren, mantap . terimakasih",bintang 5
Kaos Pria Wanita Viral Prabowo Gemoi Sorry Yeee ,N***Y,2 bulan lalu,"keren, mantap . terimakasih",bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,DEDI,2 bulan lalu,Ukurannya pas,bintang 5
Kaos pria O-neck bicycle,moh,2 bulan lalu,ok,bintang 5
Kaos Pria O-neck LS,Wijoyo,2 bulan lalu,Ukurannya pas.  bahan nyaman,bintang 5
Kaos Polos Pria Cotton Combed 30s,Michael,2 bulan lalu,"pas , enak dan harga sesuai Ukurannya pas",bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,Purnomo,2 bulan lalu,Ukurannya pas,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,P***o,2 bulan lalu,Ukurannya pas,bintang 5
Kaos Polos Pria Cotton Combed 30s,Nurcholis,2 bulan lalu,"Ukurannya pas. Bahan standar kaos oblong, tidak panas. Cocok buat sehari-hari di rumah atau buat dalaman kombinasi kemeja.",bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,SONY,2 bulan lalu,"Kualitas sesuai dgn harga, ga ada komplain. cuman warna merah L nya kok lbh kecil sndri dr pda warna lain, tp kembali lagi ke harganya ga perlu komplain. pengiriman cepet... ",bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,Forlan,2 bulan lalu,Ukurannya pas Tinggi badan > 180 cm Berat badan > 80 kg,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,Nurcholis,2 bulan lalu,"Bahan halus, adem meski terlihat kasar.",bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,EDO,2 bulan lalu,"bagus sesuai deskripsi, tetapi ada pada bagian jahitan samping bawah terlepas",bintang 4
Kaos polo polos / Kaos kerah / Kaos wangki,Fahrul,2 bulan lalu,Ukurannya pas Tinggi badan 160 - 170 cm Berat badan 71 - 80 kg,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,Putra,2 bulan lalu,sesuai harga,bintang 3
Kaos pria O-neck bicycle,Gunanto,2 bulan lalu,"ok agak ketat,bsk lagi klo pesan up di atasnya.
mksh seller dan kang paktenya.",bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,Fina,2 bulan lalu,"Ukurannya terlalu kecil Tinggi badan 171 - 180 cm Berat badan 60 - 70 kg..masukan,, mungkin harusnya kalau beli ukuran harus lebih besar dari yg biasa dipake..",bintang 4
Kaos pria O-neck bicycle,c***z,2 bulan lalu,bahannya agak tipis,bintang 4
Kaos pria O-neck bicycle,Wahyuningrat,2 bulan lalu,kain tipis,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,Y***i,2 bulan lalu,ukuran XXL sesuai...kualitas sesuai harga,bintang 5
Kaos pria O-neck nadi,Y***i,2 bulan lalu,ukuran XXL agak kecil...apa harus cuci dulu supaya melebar...kualitas sesuai harga,bintang 5
Dress Wanita Polos / Midi Dress / Dress Katun Lengan Pendek,Bakti,2 bulan lalu,"bahan cukup tipis
ukuran besar
semoga awet",bintang 5
Kaos pria O-neck bicycle,a***a,2 bulan lalu,ukuran lebih kecik dari size normal. yang mau beli sebaiknya ambil 1 ukuran dari yang Biasa dipakai.,bintang 3
Kaos polo polos / Kaos kerah / Kaos wangki,P***o,2 bulan lalu,barang sesuai pesanan packing oke,bintang 5
Kaos pria o neck need coffe,s***i,2 bulan lalu,bagus,bintang 5
Kaos pria O-neck bicycle,s***i,2 bulan lalu,bagus,bintang 5
Kaos pria O-neck vespa,a***p,2 bulan lalu,"ukuran pas,, bahan ok ssuai harga,,",bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,Rama,2 bulan lalu,Ukurannya pas,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,Juan,2 bulan lalu,"Bahan halus, ukuran pas",bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,Radja,2 bulan lalu,"Ukurannya pas Tinggi badan 171 - 180 cm Berat badan 71 - 80 kg, pembelian kedua kali produk sangat bagus sekali, harga sangat terjangkau",bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,A***r,2 bulan lalu,"Ukurannya pas, bahan adem. mantap",bintang 5
Kaos pria O-neck bicycle,Agnes,2 bulan lalu,Ukurannya pas good,bintang 4
Kaos Polos Wanita Cotton Combed 30s,Abi,2 bulan lalu,Ukurannya pas,bintang 5
Croptop Wanita // Basic Croptop - Lengan Pendek Cotton Combed 30s,Rindi,2 bulan lalu,"kualitas produk bagus, pengiriman cepat",bintang 5
Kaos pria O-neck chill,Wahyuningrat,2 bulan lalu,kain tipis. jika beli sebaiknya naikkan 1 size,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,Yenny,2 bulan lalu,"Untuk anak 14th, kekecilan. Kualitas bahan lumayan.",bintang 4
Croptop Wanita Bear - Lengan Pendek Cotton Combed 30s,Yenny,2 bulan lalu,"BB 62, TB 166 sx XXL agak kebesaran, bahannya standard, dicuci 1x udah agak melar.",bintang 4
Kaos polo polos / Kaos kerah / Kaos wangki,Muhamad,2 bulan lalu,"Ukurannya ngepas banget di saya,  Berat badan 56 kg.
next order size L",bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,Juandra,2 bulan lalu,Ukurannya pas Berat badan 60 - 70 kg Tinggi badan 171 - 180 cm,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,Qonita,2 bulan lalu,tipis tapi okeee,bintang 5
Kaos pria O-neck bicycle,wiwi,2 bulan lalu,"Ukurannya pas, pesanan sesuai, bahan adem, pengiriman cepat..",bintang 5
Kaos Pria O-neck Toyib,wiwi,2 bulan lalu,"Ukurannya pas, pesanan sesuai, bahan adem, pengiriman cepat..",bintang 5
Kaos Pria O-neck Game Boss,wiwi,2 bulan lalu,"Ukurannya pas, pesanan sesuai, bahan adem, pengiriman cepat..",bintang 5
Kaos pria O-neck vespa,wiwi,2 bulan lalu,"ok sesuai pesanan
pas, bahan ok adem, pengiriman cepat, kurir ramah,",bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,T***i,3 bulan lalu,Ukurannya pas,bintang 5
Kaos Polos Wanita Cotton Combed 30s,e***y,3 bulan lalu,"ukuran pas sesuai deskripsi, nyaman di badan, bahannya halus",bintang 5
custom bordirr,Widarto,3 bulan lalu,"barang bagus, cepat sampai 
paten pokoknya",bintang 5
Kaos Ganjar Mahfud Capres Cawapres 2024 // Baju Pria Wanita Politik,Arden,3 bulan lalu,terlalu tipis,bintang 3
Kaos Pria Wanita Viral Prabowo Gemoi Sorry Yeee ,sudrajat,3 bulan lalu,ukuran L tdk sesuai Ukurannya terlalu kecil,bintang 4
Kaos Polos Wanita Cotton Combed 30s,dini,3 bulan lalu,Ukurannya pas,bintang 5
Kaos Prabowo Gibran Capres Cawapres 2024 // Baju Pria Wanita Politik ,Adelwin,3 bulan lalu,Ukurannya pas,bintang 4
Kaos polo polos / Kaos kerah / Kaos wangki,n***a,3 bulan lalu,Ukurannya pas Tinggi badan 171 - 180 cm Berat badan 71 - 80 kg,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,I***n,3 bulan lalu,"Ukurannya terlalu kecil buat saya sih untuk BB 62kg pakai L, overall bagus sih 🤝",bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,A***f,3 bulan lalu,barang sudah diterima sesuai pesanan ontime :-),bintang 5
Kaos wanita cat star - Cotton Combed 30s,K***n,3 bulan lalu,trimakasih barang dah sampai .kain dan gambarnya sablonnya bagus. Ukurannya pas,bintang 5
Kaos wanita nwyrk - Cotton Combed 30s,P***i,3 bulan lalu,Ukurannya pas Tinggi badan 150 - 160 cm,bintang 5
Kaos Imlek Pria Wanita Terbaru 2024 Tahun Naga kode 2 - Cotton Combed ,Mamasanta,3 bulan lalu,Ukurannya pas Ukurannya terlalu kecil Tinggi badan 171 - 180 cm Ukurannya terlalu besar Tinggi badan < 160 cm Berat badan 60 - 70 kg Tinggi badan 160 - 170 cm Tinggi b... ,bintang 5
Kaos Wanita Now - Cotton Combed 30s,Anggi,3 bulan lalu,Ukurannya pas,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,abdulazis,3 bulan lalu,Keren modelnya .. bahannya adem lumayan tebell .. pokonya bagus .. next order lagi dahh,bintang 5
Kaos Imlek Pria Wanita Terbaru 2024 Tahun Naga kode 5 - Cotton Combed ,K***n,3 bulan lalu,trima kasih barang dah sampai Ukurannya pas,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,Andi,3 bulan lalu,"bagus sesuai harga,  pengiriman cepat.  Ukurannya pas",bintang 5
Croptop Wanita // Basic Croptop - Lengan Pendek Cotton Combed 30s,Rindi,3 bulan lalu,kualitas bagus,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,erik,3 bulan lalu,Ukurannya terlalu kecil,bintang 5
Dress Wanita Polos / Midi Dress / Dress Katun Lengan Pendek,J***e,3 bulan lalu,"bahannya nyaman, ga nerawang, datang cepat. tks seller",bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,bagus,3 bulan lalu,Ukurannya pas,bintang 5
