Produk,Nama,Waktu,Review,Rating
Kaos polo polos / Kaos kerah / Kaos wangki,A***t,2 bulan lalu,Ukurannya pas,bintang 5
Croptop Wanita Bear - Lengan Pendek Cotton Combed 30s,Tunik,2 bulan lalu,"Ukurannya pas Tinggi badan 150 - 160 cm,harga terjangkau,bahan bagus pokoknya nggak mengecewakan. Makasih🙏",bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,NGADIYANTO,2 bulan lalu,"Semoga berkah, Pengiriman cepat,",bintang 5
Kaos Zodiak Wanita Aquarius - Cotton Combed 30s,F***h,2 bulan lalu,Ukurannya pas Berat badan 50 - 60 dan adeeeem banged,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,Y***n,2 bulan lalu,bahan sangat jelek. yaah ada harga ada kwalitas.,bintang 3
Kaos polo polos / Kaos kerah / Kaos wangki,Saktiva,2 bulan lalu,"beli 3, ada defect smua di bagian kerah nya sisa benang pintal gitu. bahan nya juga gerah buat di daerah panas mah. cuma worth sih seharga sgitu. sama kayanya ini ga bisa... ",bintang 4
Kaos polo polos / Kaos kerah / Kaos wangki,Ijul,2 bulan lalu,Ukurannya terlalu kecil,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,A***a,2 bulan lalu,sesuai pesanan. Ukurannya pas.,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,M***h,2 bulan lalu,barang sudah sampai...kualitas sesuai harganya lah..ukurannya XXL tapi agak kecil kayak ukuran L..,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,Fristia,2 bulan lalu,"ukurannya pas, cukup oke dg harga segitu...",bintang 5
KAOS CALON PRESIDEN INDONESIA 2024 // ANIES BASWEDAN // KAOS POLITIK ,R***h,3 bulan lalu,indonesia porever,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,R***i,3 bulan lalu,"harga segini, barang sesuai. siip",bintang 5
Kaos pria O-neck Sgame,Sugiarto,3 bulan lalu,ok,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,Yogi,3 bulan lalu,agak tipis kaosnya,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,Tjayadi,3 bulan lalu,"Modelnya pas dibadan,  kwalitas barangnya lumayan.  Tinggi badan 171 - 180 cm",bintang 5
Kaos Pria O-neck Ikigai,Mohamad,3 bulan lalu,"Ukurannya terlalu kecil  Tinggi badan 160 - 170 cm
saran ukuran M pesenya L aja",bintang 5
Kaos Pria O-neck Elang,Mohamad,3 bulan lalu,ukuran M terlalu kecil menurut saya next order lagi ukuran L Berat badan < 60 kg Tinggi badan 160 - 170 cm,bintang 5
Croptop Wanita // Basic Croptop - Lengan Pendek Cotton Combed 30s,Yunarsih,3 bulan lalu,Ukurannya pas,bintang 5
Kaos Pria O-neck 75%,Y***n,3 bulan lalu,"Ukurannya pas , anak saya suka. warna coksu nya keren",bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,Laksmono,3 bulan lalu,Ukurannya terlalu kecil,bintang 4
Kaos Anies Muhaimin Capres Cawapres  2024 // Baju Pria Wanita Politik ,I***u,3 bulan lalu,"Ukurannya pas, bahannya cukup baik. Untuktinggi badan 160 - 170 cm, cukuplah.",bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,Yayan,3 bulan lalu,"sesuai lah sama harga, cuman kalo agak pas banget ukurannya, saran aja buat yang mau beli, size nya naik 1 atau 2 size dari yang biasa dipake",bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,a***i,3 bulan lalu,Ukurannya pas Tinggi badan < 160 cm,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,R***R,3 bulan lalu,pas size nya bahan oke,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,Andi,3 bulan lalu,Bahan sesuai dengan harga,bintang 5
Baju Wanita Kaos Natal Merry Christmas - Cotton Combed 30s,T***a,3 bulan lalu,Barang sesuai pesanan & pengiriman cepat. Terima kasih,bintang 5
Kaos Prabowo Gibran Capres Cawapres 2024 // Baju Pria Wanita Politik ,Aris,3 bulan lalu,Ukurannya pas,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,hariyanto,3 bulan lalu,Ukurannya pas,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,t***y,3 bulan lalu,Ukurannya pas terbaikkk,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,Edy,3 bulan lalu,hanya bintang yg bicara.,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,Sjafarizal,3 bulan lalu,"sy pesen ukuran L, barang sampe ukuran M",bintang 1
Kaos wanita owl - Cotton Combed 30s,I***h,3 bulan lalu,"bagus, kaosnya lebih panjang sedikit dr yg dulu beli kaos dengan gambar zodiak",bintang 5
Kaos wanita trace - Cotton Combed 30s,I***h,3 bulan lalu,sablonannya agak blur,bintang 4
Kaos Pria O-neck Ikigai,S***f,3 bulan lalu,good seller,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,A***m,3 bulan lalu,woww bagus sekali bahan halus. cepat datang dan datang cepat,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,R***a,3 bulan lalu,Ukurannya pas Ukurannya terlalu besar Ukurannya terlalu kecil Tinggi badan < 160 cm Berat badan < 60 kg Tinggi badan 171 - 180 cm Tinggi badan 160 - 170 cm Berat ba... ,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,a***a,3 bulan lalu,Ukurannya pas2an pdahal sdah pilih ukuran besar,bintang 4
Kaos polo polos / Kaos kerah / Kaos wangki,Daniel,3 bulan lalu,Ukurannya pas Tinggi badan 171 - 180 cm Berat badan 71 - 80 kg,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,rey,3 bulan lalu,"bahannya adem , modelnya ok , warnanya cerah harga terjangkau",bintang 5
Baju Wanita Kaos Natal Rusa - Cotton Combed 30s,Erna,3 bulan lalu,"Hoho…Merry Christmas 🎄, biasa langganan nih….kaosnya enak dipakai bahannya adem 🥰",bintang 5
Kaos Polos Wanita Cotton Combed 30s,Lygia,3 bulan lalu,"bisa untuk disablon, kenyamanan pakai : standar, pengiriman cepat, next beli lagi di sini 👍",bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,Zainal,3 bulan lalu,size L nya kecil,bintang 5
Kaos Polos Pria Cotton Combed 30s,Zainal,3 bulan lalu,size l nya kecil,bintang 5
Kaos Pria O-neck Gitar,Prasetyo,3 bulan lalu,Ukurannya pas,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,M***h,3 bulan lalu,harga sesuai kualitas.,bintang 3
Kaos polo polos / Kaos kerah / Kaos wangki,Gunawan,3 bulan lalu,"Paket diterima dalam keadaan baik, ukurannya sudah pas.",bintang 5
Kaos Ganjar Mahfud Capres Cawapres 2024 // Baju Pria Wanita Politik,Dwi,3 bulan lalu,walau murah tp gk murahan,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,I***n,3 bulan lalu,pas untuk saya yg lp 100. kualitas kain lumyan tebal,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,Titik,4 bulan lalu,size XXLnya lebih kecil..kayak size XL,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,Ben,4 bulan lalu,bahannya ga bagus,bintang 2
KAOS CALON PRESIDEN INDONESIA 2024 // GANJAR PRANOWO // KAOS POLITIK ,u***a,4 bulan lalu,"Sesuai dgn pesanan.
Pengiriman cepat.",bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,Yusup,4 bulan lalu,"paket landing d rumah dalam keadaan sobek bungkusan paketnya😑, untungnya barangnya masih aman, ntah siapa yg salah, jd sy ksih bintang  4 ya",bintang 4
Kaos polo polos / Kaos kerah / Kaos wangki,Reza,4 bulan lalu,"ukuran agak kecil , tapi sy tetap anggap  cukup baik sesuai nilai harga nya",bintang 5
Kaos Crop Top Wanita Stc Motif Depan Belakang Bahan Cotton Combed 30s,Erna,4 bulan lalu,La..la …la melengkapi koleksi,bintang 5
Croptop Wanita SB - Lengan Pendek Cotton Combed 30s,Erna,4 bulan lalu,Sukaaaaa 😍,bintang 5
Croptop Wanita Mom - Lengan Pendek Cotton Combed 30s,Erna,4 bulan lalu,Langganan banget nih 🥰,bintang 5
Kaos Pria O-neck mi xue,nengah,4 bulan lalu,Ukurannya pas. bagus n murah. toko rekomendasi bnget.,bintang 5
Paket Hemat Kaos Distro,nengah,4 bulan lalu,Ukurannya pas..bagus n murah. rekomendasi bnget.,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,Azmie,4 bulan lalu,Ukurannya pas M ny ngpres.   bahan lumayan,bintang 5
CUSTOM BORDIR,Kharina,4 bulan lalu,"Respon bagus,proses cepat sesuai janji. Bajunya bagus 👍🏻👍🏻 thank you.",bintang 5
Kaos pria O-neck Sgame,M***d,4 bulan lalu,baju kekecilan,bintang 2
Kaos pria O-neck bicycle,M***d,4 bulan lalu,baju nya kekecilan,bintang 2
Kaos polo polos / Kaos kerah / Kaos wangki,tonny,4 bulan lalu,Ukurannya pas,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,Madhu,4 bulan lalu,bagus👍,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,A***a,4 bulan lalu,"agak tipis, tapi harga sesuai dengan bahan Ukurannya pas",bintang 5
Kaos Pria O-neck Elang,A***f,4 bulan lalu,"kualitas lumayan sesuai harga jg pas ukurannya, prlaysnan cpt. Ukurannya pas",bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,Anton,4 bulan lalu,model sesuai cuma ukuran yg kecewa. pesan XXL kaya ukuran L. utk masih bs dipake walau ketat. pengiriman lumayan cepat,bintang 4
Kaos polo polos / Kaos kerah / Kaos wangki,Heru,4 bulan lalu,lumayan sih cuma ukuran L ny kaya M dipake dibadan apa badan saya kali yaa gede heheheheh,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,I***n,4 bulan lalu,ukuran kurang pas,bintang 3
Kaos polo polos / Kaos kerah / Kaos wangki,r***i,4 bulan lalu,"sebaiknya di check dulu sebelum barang di packing. karna ada cacat mengurangi kepuasan pelanggan.

next kualitas barang di jaga agar customer bisa repeat order.",bintang 3
Kaos polo polos / Kaos kerah / Kaos wangki,Adrian,4 bulan lalu,"Sangat kecewa sekali. Koq bisa ya? Pesan size XXL, tetapi yang datang ukuran bajunya M.  Kapok beli di sini lagi....",bintang 1
Kaos polo polos / Kaos kerah / Kaos wangki,Madhu,4 bulan lalu,alhamdulillah sesuai pesanan size XL nya pas lah di saya ga ngepres bgt bb 56 tinggi 158 bkal order lg trima ksh seller🙏🙏,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,Dejavu,4 bulan lalu,Ukurannya pas,bintang 4
Kaos polo polos / Kaos kerah / Kaos wangki,Adhitya,4 bulan lalu,Ukurannya XL pas Tinggi badan 160 - 170 cm Berat badan 71 - 80 kg,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,Wiwien,4 bulan lalu,"Paketnya sdh sampai, semoga awet. Trima kasih atas pelayanannya yg cepat. 👍👍👍",bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,D***y,4 bulan lalu,"Baguss, bahannya jg adem, sesuai pesanan trims seller",bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,arifin,4 bulan lalu,Ukurannya pas,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,Yohannes,4 bulan lalu,"ada noda di bagian dada. ukuran tidak mainstream, L terlalu kecil seperti S",bintang 2
Kaos polo polos / Kaos kerah / Kaos wangki,r***y,4 bulan lalu,Ukurannya pas,bintang 4
Kaos polo polos / Kaos kerah / Kaos wangki,Chendri,4 bulan lalu,Ukurannya pas,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,Sandy,4 bulan lalu,"yaayy....paketnya sdh sampai, gokiiilsss...cepet bgt sampenya, REAL PICT!!!! jahitannya?? RAPIH BUANGETT!!!! bener² gak kecewa, jadi pengen beli lagi... SELLER?? Ruamajh... ",bintang 5
Kaos Polos Wanita Cotton Combed 30s,R***a,4 bulan lalu,bahan tebal adem pengiriman cepat pas banget ukuran L bb 55 gak nyesel deh belinya,bintang 4
Croptop Wanita Mom - Lengan Pendek Cotton Combed 30s,Erna,4 bulan lalu,Sukaaaa deh☺️,bintang 5
Croptop Wanita girl - Lengan Pendek Cotton Combed 30s,Erna,4 bulan lalu,Lucuuuu☺️,bintang 5
Kaos Crop Top Wanita Stc Motif Depan Belakang Bahan Cotton Combed 30s,Erna,4 bulan lalu,Kaos bagus dan rapih 😍,bintang 5
Kaos Pria O-neck 75%,M***y,4 bulan lalu,"kapok d ama penjual g bertanggung jawab begitu... bukannya memberikan solusi, tapi pembeli dituduh sebagai penipu dulu.",bintang 1
Kaos Pria O-neck I don't care,M***y,4 bulan lalu,"Dipesan 4,dikirim cuma 2 pieces, belum dicek permasalahan nya dimana, langsung pembeli dituduh penipu, sungguh unprofessional attitude... 😡😡😡",bintang 1
